store_nbr,family,actual_sales,predicted_sales,mae
37,BEVERAGES,136079.0,139768.9444272366,468.56254588958075
21,GROCERY I,204422.881,200063.2944681645,465.1970966690151
20,CLEANING,82264.0,75461.28351317008,462.8463558190463
51,PRODUCE,262036.1722,268636.0759999454,460.9838647414927
50,BEVERAGES,224630.0,231553.71511317624,459.1734298141808
27,GROCERY I,187645.0,187191.5369750638,456.8829400248207
31,GROCERY I,216953.467,213574.73210483682,448.361652661253
52,PRODUCE,227465.16999999998,229067.9026269846,434.924080835393
51,BEVERAGES,221456.0,227456.6682704198,434.730271184031
36,BEVERAGES,152455.0,140319.58333174643,431.61976568601085
7,PRODUCE,233132.9682,248062.88672738403,430.8167144233211
47,PRODUCE,273920.5966,283610.74395288003,428.53271251333354
20,BEVERAGES,181940.0,172449.88410120952,417.18417633322724
29,BEVERAGES,148927.0,146180.14094001113,414.64461713099894
45,PRODUCE,306070.7573,308910.1599450437,413.4192345006393
27,BEVERAGES,156154.0,158499.51762979542,404.57548653915126
14,GROCERY I,138685.0,137763.22306863472,398.24703776690427
54,GROCERY I,155369.0,150261.517940596,395.824607250424
6,GROCERY I,232337.0,244391.02151432543,388.62037456678036
30,BEVERAGES,73731.0,66003.44149006916,387.6852119950727
38,GROCERY I,181328.0,187215.19519225843,385.9785078753224
17,GROCERY I,214984.0,220225.5919497492,382.7197311420004
25,BEVERAGES,98941.0,90457.33032301858,381.6074504723033
24,BEVERAGES,166661.0,174090.6746907926,381.27942709756184
8,BEVERAGES,222079.0,230889.9802870478,381.0044373629333
7,BEVERAGES,183869.0,196391.15293295027,374.3103913456936
9,BEVERAGES,166713.0,167956.63440139254,372.4604102945436
8,PRODUCE,221955.5903,231556.96085198005,365.5963825778941
2,GROCERY I,184174.0,198518.31721280058,361.3711075366161
8,GROCERY I,235961.0,246745.88835561735,359.55164525441256
31,CLEANING,67172.0,66311.32633555983,355.70996255275196
4,GROCERY I,159568.0,168088.54706724564,350.1266913609705
13,GROCERY I,129898.0,131453.9894509877,345.02082592293243
24,GROCERY I,193074.0,199036.11923518652,344.03484708374145
46,CLEANING,119720.0,122776.0462172955,343.4584398009669
22,GROCERY I,120706.0,120233.89660660081,343.14001181040294
42,GROCERY I,153622.0,164252.41060149064,338.7048670660941
37,GROCERY I,170975.0,176758.89978371805,337.0435171883574
41,CLEANING,57164.0,57933.61673534784,335.79897299848074
47,CLEANING,119478.0,123197.99572473226,334.5050161715364
12,CLEANING,47379.0,43792.628665658165,328.0636226101549
24,PRODUCE,174196.8588,183688.66063595295,320.1576672802756
2,BEVERAGES,146814.0,155113.7519414,320.02781865498366
54,CLEANING,56197.0,54913.448732547644,318.29456166980026
33,GROCERY I,143835.0,146674.08555845174,315.5149396353012
44,CLEANING,126224.0,130332.5677731887,315.45997469966585
7,GROCERY I,180079.0,188659.95340803367,312.3959130191595
53,GROCERY I,155349.0,160982.59342628805,310.5383540962594
4,BEVERAGES,122969.0,131880.87387801983,306.7278909971581
1,GROCERY I,111721.0,118005.64162161376,305.20468253021716
48,CLEANING,110188.0,109699.79197574189,303.76024113136447
6,BEVERAGES,169854.0,179143.45780607723,303.65066545199954
19,BEVERAGES,120531.0,118952.58745925382,302.11091395676357
34,GROCERY I,184344.884,181931.29799311463,296.442433056949
15,GROCERY I,123212.0,129650.64161797846,295.99529408046874
27,PRODUCE,131546.1679,136831.58159650554,293.02750503552323
26,GROCERY I,75230.0,76320.70933865823,292.22059709732747
17,BEVERAGES,148747.0,155064.35093780654,291.2954184940798
25,PRODUCE,77043.7251,72404.17536011376,290.17196099544196
19,GROCERY I,160719.0,162234.24073129782,287.7407197575235
10,GROCERY I,121645.0,122324.3955051336,286.5505191670229
12,GROCERY I,134816.0,139428.88092989256,280.23911454627597
38,CLEANING,54401.0,55888.106653893294,279.8325952249884
18,GROCERY I,134661.5,141562.39845079585,271.50974554282146
5,GROCERY I,141723.0,145317.82874725314,270.9639173058413
53,BEVERAGES,111564.0,113878.07038479755,270.49273840431493
22,BEVERAGES,80523.0,77393.74589335102,269.9316419509467
42,PRODUCE,118400.9531,128272.775838467,266.256759976262
14,BEVERAGES,71695.0,67814.80138649166,264.52197072447444
28,CLEANING,62204.0,63518.508888396434,261.06466006493264
37,PRODUCE,120424.205,129542.33404693962,256.9614971783049
45,CLEANING,129655.0,133580.4307641074,254.65642014718887
35,GROCERY I,88726.118,87371.6960910123,254.53792823455487
51,POULTRY,47363.22593,43524.61185061175,252.41459718561896
25,GROCERY I,88189.0,83559.61882574642,247.5685119303551
18,BEVERAGES,106748.0,113248.17838790068,246.90044994502395
5,BEVERAGES,88881.0,89962.956417496,244.82057380065547
32,BEVERAGES,48119.0,45026.30487563672,243.96751728700087
34,BEVERAGES,112038.0,110517.26944198759,243.02434283019747
16,GROCERY I,98085.0,100251.89813737897,242.6770557716686
32,GROCERY I,76229.0,74405.49630118128,242.48992866373138
18,PRODUCE,88898.5799,92218.45813480417,239.9690602547618
9,CLEANING,81781.0,82336.29383993757,237.20781977692718
50,CLEANING,88543.0,90133.78664702944,235.5023718210648
10,CLEANING,39720.0,37427.41308407564,233.0554358838501
13,BEVERAGES,74198.0,76491.30727574117,232.89390982482624
46,PRODUCE,141013.741,145664.5940515917,231.685106944017
11,CLEANING,90967.0,92148.22736596035,226.07652658849022
1,PRODUCE,108925.8951,113502.87691955414,225.78924241465242
16,BEVERAGES,64157.0,63110.79448844975,223.5471426348015
28,PRODUCE,80554.132,81760.92643593602,222.3767338623991
23,GROCERY I,99803.0,104059.49660414718,217.87849499300407
13,CLEANING,38485.0,37933.70358424626,217.04599439222815
1,BEVERAGES,96821.0,101625.98025191251,214.96324141382394
15,BEVERAGES,78382.0,79850.16406828602,213.17180974401143
26,BEVERAGES,46558.0,47821.44215750557,212.12629048204101
48,PRODUCE,100020.01699999999,101549.72901006839,211.67353815027582
3,CLEANING,96864.0,100745.61284319479,209.62850403531726
44,DAIRY,120955.0,127865.28668266923,203.27040119736822
23,MEATS,28781.43792,29441.843834784395,202.95963220421635
35,BEVERAGES,66738.0,65409.85380280684,197.8958283107886
6,PRODUCE,124678.681,130641.92224799248,197.76585868656892
47,DAIRY,103108.0,110786.83952497359,197.57377209046493
41,PERSONAL CARE,20185.0,18697.64886018534,193.51417538180803
11,PRODUCE,73539.273,74129.86123633965,192.5399898252335
2,PRODUCE,113367.9822,121311.11898697155,192.0575651876499
39,PRODUCE,84607.8151,89150.10495788186,191.77099880807572
45,DAIRY,108211.0,114694.20799937416,187.03210933090776
41,PRODUCE,102045.7289,106405.4129790547,180.8299654427853
10,BEVERAGES,63215.0,60765.35797480098,180.40884411903153
46,DAIRY,78007.0,81073.39823152538,179.56368902926243
53,PRODUCE,98452.5758,102178.99469335884,179.2937038846487
49,DAIRY,103225.0,109250.42665774064,177.2634306715847
23,BEVERAGES,70829.0,74415.03398897927,176.57774842216745
52,CLEANING,78408.0,79062.0705093178,175.3650558486424
50,PRODUCE,106519.0119,110845.19129632463,174.67239248455732
36,PRODUCE,65093.415,64943.89354392966,174.0856825157927
43,PRODUCE,63207.2488,62131.790513591426,173.661981467998
38,PRODUCE,97505.065,101521.11613705396,171.97084356050183
49,CLEANING,91383.0,96260.52401795093,171.95078484047232
6,CLEANING,60781.0,63509.1875818649,170.2996666028737
12,BEVERAGES,77072.0,79559.60852306572,169.60296280771016
17,CLEANING,55051.0,53944.159364982464,167.74364120751062
29,CLEANING,48208.0,48959.507136303146,164.71276007670673
21,PRODUCE,68448.90413,68922.3040959777,161.5386948508867
4,PRODUCE,108416.138,113450.99373789447,159.74164370208268
37,CLEANING,46689.0,48900.784895338846,157.36296817900708
48,PERSONAL CARE,39529.0,38302.04060903316,154.721549689284
28,DAIRY,44273.0,45601.7244908234,154.19321362956742
33,CLEANING,48438.0,48888.812035692245,153.39838764824768
29,PRODUCE,61650.9561,64046.973509911906,152.45042870417933
3,DAIRY,99802.0,105993.53783257735,152.1708298726248
22,CLEANING,33745.0,31942.62905517505,149.8656242225475
5,CLEANING,43774.0,45262.471153352104,147.2151200139852
31,PRODUCE,69007.74207000001,71722.79825905571,144.05394304843279
15,CLEANING,41952.0,42053.90479448697,142.9695169640604
51,CLEANING,69805.0,72756.35013279665,142.82558717702986
39,EGGS,23694.0,23583.331254545865,137.70653321482226
5,PRODUCE,74284.135,75799.52316006062,134.90721607194922
22,PRODUCE,25070.025,24858.41910972677,134.52134936152464
19,CLEANING,45428.0,45512.718496044756,133.7832224934312
7,CLEANING,49593.0,52546.021854216975,133.66196121425594
51,DAIRY,75960.0,77825.81263025796,133.46418714513976
17,PRODUCE,70002.656,72120.10534366244,133.29496229020478
45,MEATS,57495.50236,58419.17094123661,133.2184570418409
34,CLEANING,41133.0,40690.54348570379,130.7761803997989
11,BREAD/BAKERY,33706.0,32393.423367980373,129.2411471961654
44,BREAD/BAKERY,78452.917,81758.01142063376,128.43952892149298
33,PRODUCE,64427.2701,65198.858267142285,128.28946081508667
36,CLEANING,42071.0,41492.45019261937,126.94500731094377
20,PRODUCE,52479.89896,52741.036539288805,125.81553630659911
8,CLEANING,59741.0,63037.86082993829,125.19933074919723
24,CLEANING,53065.0,56071.36756948052,123.8516117281705
44,HOME CARE,37514.0,37704.17849078347,121.73152446581494
52,DAIRY,54742.0,55335.910792201095,121.50574533730939
48,MEATS,45306.3351,46270.74398973226,120.95996947249255
27,CLEANING,43401.0,44749.70221824283,120.43836471864952
48,DAIRY,63063.0,65590.5631065589,120.36966708002652
40,PRODUCE,58668.17,59903.724489175125,119.7873845097582
8,DAIRY,67758.0,72194.81366825428,119.53454124921538
23,PRODUCE,56056.4249,59106.83096839003,119.40472581359806
53,CLEANING,48800.0,51338.39064777907,118.0301979497545
40,HOME CARE,20289.0,19291.51405692765,117.98431264524582
7,DAIRY,58239.0,62316.75563463106,116.12764163428633
2,CLEANING,43572.0,47007.88718971381,115.81872705753611
24,DAIRY,60379.0,63025.51087539836,114.42469997904084
9,PRODUCE,77060.169,79371.16232827424,112.96403082953567
11,EGGS,13089.0,10883.439288678373,112.22878252772352
44,POULTRY,58963.034999999996,61155.16748116695,112.16268404504312
46,MEATS,51898.27407,52359.754467159815,111.48996298690263
43,CLEANING,58098.0,57881.640152061875,110.91127271928401
49,BREAD/BAKERY,55749.02593,58464.79539335419,110.40681756028461
29,BREAD/BAKERY,30935.0,29490.597252100953,109.8658993160951
48,HOME CARE,31308.0,30684.7662213821,109.66488012262843
27,DAIRY,48543.0,49312.19723052906,109.23942840011946
47,POULTRY,57042.929000000004,59511.54904513133,107.90953096758247
42,CLEANING,37456.0,40597.36184921381,107.79756681887481
45,POULTRY,63883.7119,65970.25265626155,103.40725103669051
26,CLEANING,19426.0,21757.8609852343,102.01618243837977
11,MEATS,31538.45302,31309.689945880906,101.98862765855311
4,CLEANING,39537.0,41274.34940044429,100.63628750723416
48,POULTRY,43153.20301,42981.39097467412,100.31480038410727
35,CLEANING,22636.0,23116.371758964582,100.31391055127725
29,DAIRY,35998.0,37364.33664627715,99.8121269495691
38,DAIRY,37473.0,40084.37843800245,99.50839212889878
26,PRODUCE,25760.80395,27061.077984005056,98.67243207634131
39,BREAD/BAKERY,34342.0,36522.06414434024,97.75987196888588
18,DAIRY,30245.0,32670.705233086475,97.61014460793534
47,BREAD/BAKERY,54524.367,56031.23147836054,97.10433285177714
2,MEATS,23998.49894,24696.787631185383,96.97743164490294
50,DAIRY,55469.0,58558.41133786142,96.64750755920436
42,DAIRY,39910.0,42705.734952994055,96.17615431187903
49,POULTRY,50266.46714,53545.4237943191,95.48457078719903
45,BREAD/BAKERY,58310.528,59932.92725357078,95.15246967488596
25,"LIQUOR,WINE,BEER",10417.0,8197.4701312394,94.97616939766355
46,BREAD/BAKERY,45072.0,46750.11216321538,94.8777919721751
6,DAIRY,47445.0,50658.16656497,93.8384557143487
30,PRODUCE,29231.01598,30337.529073056096,93.66190910578415
3,POULTRY,55783.846,57818.1464976966,93.34753012553038
47,MEATS,46601.6989,47715.97801125971,92.80270296717985
44,PERSONAL CARE,29410.0,29673.249750653777,91.41967894322042
25,DAIRY,26855.0,24903.44642210386,91.37042032724659
38,PERSONAL CARE,19314.0,18875.20095188448,90.99068475778934
47,HOME CARE,33652.0,33776.13193781318,90.6478345700127
28,PERSONAL CARE,15525.0,15448.315427176029,89.07799619973017
25,CLEANING,20970.0,19531.10628728002,88.97951226782557
44,MEATS,44849.40297,46513.68010775526,88.71908258450333
17,DAIRY,34894.0,37252.11431636984,88.62554087265815
52,BREAD/BAKERY,39155.90494,38319.42613746872,88.58436894443649
37,DAIRY,40406.0,43306.71324585049,88.12654469086489
3,BREAD/BAKERY,56301.194,58718.83305649311,87.47804018756783
15,PRODUCE,31194.807,31393.917708277182,87.01976559477944
51,BREAD/BAKERY,41872.05497,43926.47931367166,86.26309264749351
50,HOME CARE,23616.0,23980.029951386285,85.76538313782393
45,PERSONAL CARE,36913.0,36626.16814067956,84.9510259912521
21,EGGS,14100.0,13760.106247365835,84.57052054021152
21,DAIRY,30852.0,31473.62417987684,84.55701170181115
49,MEATS,40046.72206,41979.04183172125,83.96897459359087
39,DAIRY,31600.0,34888.58205751766,82.97448523276692
18,CLEANING,29687.0,30185.02752825169,82.85901803536203
9,DAIRY,39446.0,41551.65325290053,81.77894915934094
47,DELI,33082.978,34080.56148086373,81.66491055359703
34,DAIRY,30735.0,32667.729876523037,80.78564980930174
46,POULTRY,40349.33408,41687.02388139709,80.151716200254
20,DELI,34292.938,34746.506366873866,78.61300999320525
50,MEATS,28149.06798,29132.510850850955,78.19221745803708
47,PERSONAL CARE,36434.0,36324.1763693464,77.52755332161603
28,BREAD/BAKERY,31898.0,32752.738349579296,77.32734991040412
46,PERSONAL CARE,37358.0,37933.270599591146,77.1792408097822
46,HOME CARE,33270.0,33122.42768480693,76.60028249989003
45,SCHOOL AND OFFICE SUPPLIES,11207.0,9858.024809095985,76.15308245531003
16,PRODUCE,26693.79,27573.48007097018,75.34070043265517
30,HOME CARE,8071.0,7239.51548186631,75.04639004616628
1,CLEANING,29138.0,30311.159998022817,74.82323381697404
43,DAIRY,32881.0,32763.986187004146,73.9675135915011
4,DAIRY,35964.0,38810.415496484544,73.92922312116511
45,HOME CARE,35071.0,34908.06199644606,73.67154164685584
2,DAIRY,39874.0,42690.40850683584,72.88787397957391
27,BREAD/BAKERY,30347.27901,30668.538224824202,72.8851977899978
20,BREAD/BAKERY,25576.0,25187.982631446266,72.04444926180855
34,BREAD/BAKERY,30941.0,30280.80560388061,71.69073517646122
20,MEATS,17740.70098,17339.854374276765,71.66874808434648
46,DELI,40384.121,40514.601322854796,71.09926968988133
20,DAIRY,37634.0,39937.95548371589,70.67103296641784
7,BREAD/BAKERY,29959.635,32546.203964631557,70.39512116494376
28,EGGS,12761.0,13213.690959002754,70.13837517457861
24,BREAD/BAKERY,34554.053,35807.716597697436,69.31898264632659
50,BREAD/BAKERY,29030.128,30066.33806196044,69.08483964090229
4,MEATS,17931.72302,17731.46737464265,68.53026557613244
11,HOME CARE,24119.0,24016.191449451966,68.08192782956739
48,BREAD/BAKERY,39679.119,40770.27309134324,67.93621881865744
17,DELI,25174.0,26249.000869318534,67.80193899153534
1,DAIRY,30353.0,31742.262557926075,67.80162296505827
39,HOME CARE,17218.0,17728.972535002074,67.67341726991943
6,HOME CARE,17149.0,17096.571838715212,67.60752438114837
8,BREAD/BAKERY,38682.79,40379.05872207333,67.51292879501582
29,PERSONAL CARE,12370.0,12260.960095799786,67.3414744543729
41,"LIQUOR,WINE,BEER",5899.0,5385.137211042771,67.2462482435007
36,BREAD/BAKERY,23298.0,21741.510422512136,66.83663105503285
33,EGGS,8629.0,8111.535632212113,66.32343226169556
50,PERSONAL CARE,26777.0,27145.64961210996,66.25075003516523
25,BREAD/BAKERY,17340.448,15459.821926568391,66.08575224160636
8,POULTRY,29900.73998,31255.80870056591,65.57488853168692
31,EGGS,14920.0,14275.741850921268,65.2219078504251
52,POULTRY,23649.45289,23478.573916139732,64.85551801855985
48,DELI,32343.069,33012.00849619905,64.71707935707643
31,DAIRY,33871.0,35473.63914942862,64.63901482071162
43,EGGS,11037.0,10531.65769608883,64.47849090883494
23,CLEANING,25830.0,27124.455324574097,64.2066133608281
51,MEATS,31274.08199,31867.52806461984,64.08491194935705
19,PRODUCE,22696.14701,22583.946491055674,63.3186880439376
5,DAIRY,25970.0,26637.059152709564,63.31530502857013
40,DAIRY,30833.0,31782.775033558686,63.08956813032274
32,EGGS,10028.0,9546.394384937656,63.022920931143474
8,MEATS,22013.422019999998,22915.781347045806,62.37575687240853
3,MEATS,37102.15807,38884.296782133606,61.49956448304867
47,SCHOOL AND OFFICE SUPPLIES,8493.0,9238.317417225342,61.32944868976382
41,DAIRY,35004.0,36334.34674744235,61.19693873225907
14,MEATS,12368.26101,12604.709502952797,61.17021738901174
11,POULTRY,19972.30701,19554.32001419313,61.02607102603676
53,DAIRY,25892.0,26848.52880621402,60.79753090949425
28,DELI,18564.126,19244.091203326087,60.73276223935304
34,PRODUCE,33509.419,34767.568242217276,60.69790177957488
35,PRODUCE,19501.51302,19266.556766039026,60.605153838503746
54,PRODUCE,31932.653,32488.806661707495,60.54577874097087
11,PERSONAL CARE,19789.0,19492.42110286188,60.4176051799231
50,SCHOOL AND OFFICE SUPPLIES,6301.0,7725.011132158097,60.22533944822933
37,BREAD/BAKERY,24289.72298,25400.305196304664,59.73276036360358
43,BREAD/BAKERY,27545.0,27576.263146282297,59.635602739690846
11,DELI,24858.362,24982.742934739425,59.34374534014672
31,BREAD/BAKERY,26900.0,25912.897434551327,59.32558692595447
45,DELI,35363.358,36288.397555135125,59.1120593138438
49,HOME CARE,24788.0,25072.584443614727,59.0086647953538
52,FROZEN FOODS,15535.574,15088.559815430679,58.77912127093646
3,HOME CARE,26214.0,26364.2566919429,58.52886512407832
11,DAIRY,31461.0,32661.770096535703,58.37848101925357
52,MEATS,23910.23498,24070.977257321407,58.35129674254477
9,BREAD/BAKERY,25057.0,26423.30444995119,58.308274472874956
42,BREAD/BAKERY,23291.993,24859.29911188049,58.27632047793691
44,"LIQUOR,WINE,BEER",16071.0,16689.642931759918,58.0413763387938
1,MEATS,13635.477974,14029.023072914422,58.00911614865935
18,SCHOOL AND OFFICE SUPPLIES,877.0,3298.2104300864057,58.00515518520541
44,DELI,27905.75398,28992.933162838533,57.80909138389082
16,EGGS,7481.0,7264.123301987471,57.17480730605455
43,"LIQUOR,WINE,BEER",4383.0,4313.457771114824,57.03853810167779
18,BREAD/BAKERY,27382.0,29124.93625097271,57.02714551065073
22,"LIQUOR,WINE,BEER",4198.0,3656.3022036494804,56.881591383304595
14,PRODUCE,19551.201,19775.59179533268,56.03982716069074
23,POULTRY,14811.02301,14606.80355948276,55.40232244968067
12,DAIRY,19554.0,21191.160391337206,55.03932667659276
26,MEATS,13234.21103,13206.401246634225,54.56462741484423
6,MEATS,22871.07392,23679.299318197976,54.33513328596971
9,EGGS,10127.0,10353.701492474926,54.10569189742546
28,HOME CARE,14086.0,14625.676751215355,53.98678294382479
6,BREAD/BAKERY,25670.81198,26911.305792190455,53.705418589754416
36,DAIRY,28975.0,30200.77821061122,53.5517619966181
9,DELI,26817.81,27687.203110418614,53.46522443079255
52,"LIQUOR,WINE,BEER",11046.0,10307.389364489412,53.42079324400373
21,PERSONAL CARE,14308.0,14239.103913764018,52.97904318685251
29,EGGS,11431.0,11602.366500169268,52.96340884957321
7,POULTRY,30116.74002,31601.960610066984,52.552736957857384
33,POULTRY,10542.580975,10485.111143057808,52.45105977673122
9,POULTRY,20689.71498,21007.448757008842,52.40394526256851
42,PERSONAL CARE,11262.0,11529.497473837982,52.33730976300053
3,PERSONAL CARE,26026.0,26183.631679284554,52.12638456688006
48,SCHOOL AND OFFICE SUPPLIES,6410.0,6566.301054629203,51.98372108465631
49,PERSONAL CARE,25519.0,25460.088016750724,51.93431811229427
22,POULTRY,7585.778988,7656.695253083517,51.655406262793754
6,POULTRY,26809.17997,28381.512352638194,51.39706500046916
48,HOME AND KITCHEN II,2821.0,2541.361485239497,51.284989840803526
52,PERSONAL CARE,16800.0,16790.798149260278,50.755700857197674
33,HOME CARE,10920.0,10903.51591052835,50.72588534655372
14,DAIRY,18153.0,19433.525686373003,50.535854562857665
7,MEATS,22738.31304,23380.704232895743,50.51717896922678
9,HOME CARE,20906.0,22072.826931133877,50.44426625055081
33,DAIRY,20379.0,21190.02198735813,50.290035948521684
29,HOME CARE,12643.0,12735.347711867445,50.111732938260936
24,POULTRY,25918.60799,26895.479890776995,50.042113981867715
46,SCHOOL AND OFFICE SUPPLIES,6999.0,7006.562718026284,49.857934589806014
27,"LIQUOR,WINE,BEER",7881.0,7684.828869832995,49.217376186660005
50,GROCERY II,5590.0,5449.06352899232,48.85512296623344
14,DELI,12307.0,12837.168021660069,48.80178153084615
23,DAIRY,22998.0,23887.019654920223,48.76198793194536
40,PERSONAL CARE,15086.0,15128.894784595836,48.71585400816836
50,DELI,23826.399,24638.207528876446,48.58912925602243
52,HOME CARE,17940.0,17671.508295037795,48.25553119396523
50,POULTRY,20129.29595,20502.14760425447,48.21814802067305
9,PERSONAL CARE,21958.0,22028.743982663673,47.82036034414384
36,EGGS,7111.0,6906.777531266185,47.81067021042559
44,EGGS,30196.0,31694.295363902354,47.79004450186431
51,HOME CARE,16701.0,17036.95954430184,47.7264369912062
10,DAIRY,14113.0,14841.210301069403,47.358505967931066
34,EGGS,6255.0,6129.886358887921,47.352237441520444
38,HOME CARE,16303.0,16016.853637729168,47.10758283469403
21,HOME CARE,15911.0,15899.328019879254,46.91052066334101
20,HOME CARE,17599.0,17722.86752442857,46.55427372877391
31,PERSONAL CARE,13241.0,13657.846905008786,45.92578425234602
5,HOME CARE,11102.0,11307.140465258199,45.89434859649411
35,EGGS,7094.0,7284.47194095409,45.81331678551114
24,MEATS,19554.00902,19544.71269429275,45.54913963572472
38,BREAD/BAKERY,21594.32402,22347.55595014534,45.47113222937846
1,POULTRY,14477.33203,14867.438873640236,45.225782056455124
31,MEATS,18450.03506,17954.42360032759,45.18841647926509
20,PERSONAL CARE,18495.0,17869.234900442996,45.04740801664621
16,"LIQUOR,WINE,BEER",2071.0,2785.877023667929,44.399589102261466
38,"LIQUOR,WINE,BEER",5027.0,4488.2746632372255,44.2154316328546
20,POULTRY,16966.763030000002,17032.30528496673,44.08062279910956
45,GROCERY II,6917.0,6994.979862449935,44.04493846727931
25,MEATS,10110.72799,9731.044689228518,43.738855758964064
39,PERSONAL CARE,15258.0,15817.990112837055,43.54314395605878
51,PERSONAL CARE,14213.0,14491.284428684114,43.344897565942766
44,SCHOOL AND OFFICE SUPPLIES,6493.0,6463.830960962827,43.124058767495306
38,HOME AND KITCHEN II,2895.0,3178.1427346601176,42.97502771490457
44,FROZEN FOODS,21739.47504,22371.45497106577,42.75999582428359
17,POULTRY,17919.30898,17488.55832092446,42.69163000064113
4,HOME CARE,11564.0,11907.883112204492,42.63127875124311
53,MEATS,14041.712019999999,14402.159414779644,42.600631332163125
19,DAIRY,16745.0,17679.769128514283,42.555400572620854
21,BREAD/BAKERY,22298.0,22448.917160243516,42.32271788997886
36,PERSONAL CARE,10317.0,10186.910587502518,42.17456424564595
29,DELI,13513.542,13591.695201558463,42.03272109262594
52,DELI,17437.547,17723.08959808047,41.91700805736914
10,DELI,12344.0,12300.38793867922,41.77945549509908
17,EGGS,9452.0,9673.578596742323,41.63160740431121
27,HOME CARE,12032.0,12297.333036087577,41.531444139764396
6,PERSONAL CARE,16002.0,16308.061437997305,41.473469130323075
2,POULTRY,22586.05402,23696.865723012637,41.43786396441343
35,"LIQUOR,WINE,BEER",2075.0,2429.143908064166,41.42804604156074
43,PREPARED FOODS,6394.613,5892.565163097515,41.41114211405949
19,DELI,14265.0,14472.453452339014,41.39439399692808
14,PERSONAL CARE,12265.0,12258.407183920282,41.295218706915826
8,HOME CARE,17452.0,18152.965534880605,41.244898234647586
29,"LIQUOR,WINE,BEER",4949.0,4956.443111876583,41.063263269314696
1,BREAD/BAKERY,15003.94604,15638.438257977297,41.02113232485196
45,FROZEN FOODS,16237.784,16637.157086112114,40.98333267460841
28,POULTRY,11139.45802,11512.492683949564,40.89327643513912
40,BREAD/BAKERY,19733.0,18823.38907540902,40.79122270903615
13,PERSONAL CARE,8880.0,8834.405923272252,40.759973331859385
43,PERSONAL CARE,14090.0,13833.833702126198,40.62896815656492
41,BREAD/BAKERY,23318.32099,23617.351454908963,40.32509144936359
18,DELI,10709.361,11523.729032915913,40.086190972499736
46,FROZEN FOODS,12369.69699,12361.045811502448,40.06103104582404
